uvig	jgi_sample_id	scaffold_id	ecosystem_classification	votu	length	start_coordinate	end_coordinate	is_whole_scaffold	total_genes	cds	tRNA	genomad_marker	topology	genomad_score	confidence	estimated_completeness	estimated_contamination	miuvig_quality	taxonomic_classification	taxonomic_classification_method	host_taxonomy_prediction	host_prediction_method	sequence_origin
IMGVR_UViG_2548876675_000001	2548876675	2548922215	Host-associated;Human;Circulatory system;Blood	vOTU_00000029	5431	0	5431	true	8	8	0	4	Linear	0.9594	High-confidence	59.58	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876676_000001	2548876676	2548922483	Host-associated;Mammals;Unclassified;Unclassified	vOTU_00000029	5431	0	5431	true	8	8	0	4	Linear	0.9594	High-confidence	59.58	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876677_000001	2548876677	2548922724	Host-associated;Human;Unclassified;Unclassified	vOTU_00000029	5432	0	5432	true	8	8	0	4	Linear	0.9529	High-confidence	59.59	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876678_000001	2548876678	2548923016	Host-associated;Mammals;Unclassified;Unclassified	vOTU_00000029	5431	0	5431	true	8	8	0	4	Linear	0.9594	High-confidence	59.58	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876679_000001	2548876679	2548923254	Host-associated;Mammals;Unclassified;Unclassified	vOTU_00000029	5431	0	5431	true	8	8	0	4	Linear	0.9534	High-confidence	59.58	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876710_000001	2548876710	2548937468	Host-associated;Human;Unclassified;Unclassified	vOTU_00000052	8038	0	8038	true	10	10	0	4	Linear	0.8723	High-confidence	94.93	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria meningitidis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876714_000001	2548876714	2548938173	Environmental;Terrestrial;Soil;Unclassified	vOTU_00000053	7444	0	7444	true	10	10	0	8	Linear	0.9768	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E monteilii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876790_000001	2548876790	2548966042	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000054	8913	1	8913	false	17	17	0	7	Provirus	0.8604	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas_A;s__Xanthomonas_A sacchari_B	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548876847_000001	2548876847	2548981003	Host-associated;Human;Unclassified;Unclassified	vOTU_00000029	6915	1	6915	false	9	9	0	4	Provirus	0.9637	High-confidence	75.88	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877059_000001	2548877059	2549044241	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	5496	0	5496	true	7	7	0	8	Linear	0.967	High-confidence	87.24	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877060_000001	2548877060	2549044815	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	5439	606	6044	false	8	8	0	8	Provirus	0.973	High-confidence	86.33	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877060_000002	2548877060	2549044828	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000056	6864	0	6864	true	13	13	0	10	Linear	0.9631	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877078_000001	2548877078	2549049073	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	5498	0	5498	true	7	7	0	8	Linear	0.9675	High-confidence	87.27	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877079_000001	2548877079	2549049275	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	7705	0	7705	true	10	10	0	10	Linear	0.9453	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877083_000001	2548877083	2549050254	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	4752	0	4752	true	7	7	0	8	Linear	0.9715	High-confidence	75.46	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877084_000001	2548877084	2549050632	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	4910	0	4910	true	7	7	0	8	Linear	0.9686	High-confidence	77.97	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2548877089_000001	2548877089	2549051990	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6644	0	6644	true	8	8	0	10	Linear	0.9651	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306000_000001	2551306000	2551306101	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000057	7664	0	7664	true	10	10	0	7	Linear	0.9447	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306004_000001	2551306004	2551306987	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	7785	0	7785	true	9	9	0	10	Linear	0.9591	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306006_000001	2551306006	2551307459	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	5564	0	5564	true	7	7	0	8	Linear	0.9667	High-confidence	88.32	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306008_000001	2551306008	2551307726	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6635	0	6635	true	8	8	0	10	Linear	0.9671	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306010_000001	2551306010	2551308765	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6731	0	6731	true	8	8	0	10	Linear	0.9694	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306012_000001	2551306012	2551309156	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	7784	0	7784	true	9	9	0	10	Linear	0.9544	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306014_000001	2551306014	2551309329	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000057	6589	0	6589	true	9	9	0	7	Linear	0.9454	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306022_000001	2551306022	2551311712	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6589	0	6589	true	8	8	0	10	Linear	0.9672	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306027_000001	2551306027	2551315745	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6708	0	6708	true	8	8	0	10	Linear	0.9675	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306030_000002	2551306030	2551316279	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000058	5935	0	5935	true	8	8	0	8	Linear	0.9503	High-confidence	91.61	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306031_000001	2551306031	2551316367	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000055	6726	0	6726	true	8	8	0	10	Linear	0.9701	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306150_000001	2551306150	2551350320	Host-associated;Mammals: Human;Respiratory system;Sputum/Phlegm	vOTU_00000035	7105	0	7105	true	8	8	0	6	Linear	0.9472	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306268_000001	2551306268	2551369762	Host-associated;Human;Circulatory system;Blood	vOTU_00000059	5732	0	5732	true	7	7	0	4	Linear	0.9581	High-confidence	81.05	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306296_000001	2551306296	2551373898	;;;	vOTU_00000060	6660	0	6660	true	9	9	0	7	Linear	0.9803	High-confidence	94.88	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306315_000001	2551306315	2551377873	Host-associated;Unclassified;Unclassified;Unclassified	vOTU_00000061	4564	0	4564	true	9	9	0	5	Linear	0.9001	High-confidence	74.94	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306319_000001	2551306319	2551378208	Environmental;Aquatic;Marine;Unclassified	vOTU_00000062	8941	0	8941	true	14	14	0	9	Linear	0.959	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	vOTU consensus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306347_000001	2551306347	2551381994	Host-associated;Human;Digestive system;Small intestine	vOTU_00000063	5623	0	5623	true	8	8	0	3	Linear	0.8286	High-confidence	82.09	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306362_000001	2551306362	2551384722	Host-associated;Unclassified;Unclassified;Unclassified	vOTU_00000064	6744	0	6744	true	9	9	0	6	Linear	0.9784	High-confidence	95.26	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306406_000001	2551306406	2551391351	Host-associated;Plants;Unclassified;Unclassified	vOTU_00000065	6491	121	6611	false	11	11	0	8	Provirus	0.9664	High-confidence	98.25	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306417_000002	2551306417	2551399737	Host-associated;Fish;Unclassified;Unclassified	vOTU_00000066	6498	0	6498	true	9	9	0	5	Linear	0.7295	High-confidence	93.76	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306542_000001	2551306542	2551430849	;;;	vOTU_00000067	7761	0	7761	true	9	9	0	2	Linear	0.6474	High-confidence	93.73	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum rubrisubalbicans	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2551306646_000001	2551306646	2551463810	Host-associated;Fish;Unclassified;Unclassified	vOTU_00000068	4312	501	4812	false	7	7	0	6	Provirus	0.9687	High-confidence	48.39	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio harveyi	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2554235060_000001	2554235060	2554252349	Host-associated;Human;Respiratory system;Sputum	vOTU_00000021	4874	434	5307	false	10	10	0	6	Provirus	0.9689	High-confidence	75.40	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2554235060_000002	2554235060	2554252369	Host-associated;Human;Respiratory system;Sputum	vOTU_00000069	6347	0	6347	true	9	9	0	4	Linear	0.9366	High-confidence	96.56	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2554235060_000003	2554235060	2554252394	Host-associated;Human;Respiratory system;Sputum	vOTU_00000025	4714	0	4714	true	7	7	0	3	Linear	0.9594	High-confidence	76.00	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2554235080_000001	2554235080	2554253889	Host-associated;Human;Respiratory system;Sputum	vOTU_00000021	4600	0	4600	true	9	9	0	5	Linear	0.9756	High-confidence	71.18	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2556921007_000001	2556921007	2556921416	Engineered;Wastewater;Unclassified;Unclassified	vOTU_00000071	11509	3091	14599	false	13	13	0	2	Provirus	0.5957	High-confidence	52.76	0.0	Genome fragment	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2556921087_000001	2556921087	2556931950	Engineered;Bioreactor;Continuous culture;Marine sediment inoculum	vOTU_00000072	6523	0	6523	true	9	9	0	2	Linear	0.669	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;;	CRISPR spacer match	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2558860367_000001	2558860367	2558885814	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00000073	11320	1318	12637	false	14	14	0	11	Provirus	0.9296	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2561511195_000001	2561511195	2561541656	Environmental;Terrestrial;Soil;Unclassified	vOTU_00000074	11331	0	11331	true	23	23	0	7	Linear	0.0127	High-confidence	96.70	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	vOTU consensus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2562617040_000002	2562617040	2562619353	;;;	vOTU_00000075	9102	640	9741	false	12	12	0	2	Provirus	0.7087	High-confidence	100.00	0.0	High-quality	;;;;;;;		d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2562617174_000001	2562617174	2562631496	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00000076	3105	0	3105	true	8	8	0	4	Linear	0.9246	High-confidence	48.03	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	NR (doi:10.5281/zenodo.6574914)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
